employee_id,employee_code,first_name,last_name,gender,date_of_birth,join_date,department,designation,manager_id,zone,region,state,city,hq_code,email,phone,employment_status,base_salary,incentive_plan,source_system,created_at,updated_at,batch_id,extra_notes
E100001,EMP1001,Riya,Gupta,Male,19-06-1999,2022-08-03,Sales,Product Executive,,North,Delhi,Delhi,Gurugram,HQ-N-127,riya.gupta1@pharmaco.com,+91-9012167820,Active,"7,42,297.00",Plan B,Legacy ERP,2024-01-07 05:44:27,2025-06-24 08:09:13,BATCH_20260313_002,
E100002,EMP1002, Priya  ,Agarwal,Female,1995-08-11,2023-03-08,Marketing,Territory Business Executive,E100001,North,Uttar Pradesh,Uttar Pradesh,Lucknow,HQ-N-146,priya.agarwal2@pharmaco.com,+91-6342703921,Active,"4,91,815.00",Plan B,Legacy ERP,2025-04-09 20:53:23,2025-03-25 11:22:13,BATCH_20260313_003,Promoted
E100003,EMP1003,Ananya,Joshi,Female,1987-02-09,2019-04-04,Medical Affairs,Medical Representative,,North,Rajasthan,Rajasthan,Udaipur,HQ-N-334,ananya.joshi3@pharmaco.com,+91-7722989659,Active,"7,22,463.00",Plan C,Legacy ERP,2024-08-05 20:31:25,2025-11-26 14:09:16,BATCH_20260313_001,Transferred
E100004,EMP1004,Swati,Kapoor,Male,1981-03-16,2017-06-17,Finance,Medical Representative,E100001,Central,Rajasthan,Rajasthan,Jodhpur,HQ-C-532,swati.kapoor4@pharmaco.com,+91-8559321289,On Leave,"13,89,633.00",Plan B,SAP,2025-11-27 23:07:43,2025-10-02 08:49:41,BATCH_20260313_002,
E100005,EMP1005,Vikram,Sharma,Male,15-06-1997,2017-12-14,HR,Territory Business Executive,E100001,East,Jharkhand,Jharkhand,Ranchi,HQ-E-897,vikram.sharma5@pharmaco.com,+91-8572447412,Active,"3,20,845.00",Plan A,Legacy ERP,2024-11-10 07:03:15,2025-10-18 02:05:46,BATCH_20260313_002,
E100006,EMP1006,Naveen,Joshi,Male,1993-12-24,2021-10-20,Sales,Area Sales Manager,,Central,Chhattisgarh,Chhattisgarh,Raipur,HQ-C-787,naveen.joshi6@pharmaco.com,+91-8222971316,Active,"7,99,895.00",Plan A,SAP,2024-12-12 00:37:35,2025-04-28 18:14:00,BATCH_20260313_001,
E100007,EMP1007,Neha,Patel,Female,1984-08-11,2020-06-11,Sales,Medical Representative,E100006,South,Karnataka,Karnataka,Bengaluru,HQ-S-516,neha.patel7@pharmaco.com,+91-7851350739,Active,"11,42,143.00",Plan B,SAP,2025-11-20 20:41:06,2025-02-01 12:46:21,BATCH_20260313_001,Transferred
E100008,EMP1008,Nisha,Nair,Male,1978-05-20,2017-10-20,Sales,Medical Representative,E100007,South,Tamil Nadu,Tamil Nadu,Madurai,HQ-S-969,nisha.nair8@pharmaco.com,+91-8067418686,Active,"11,21,042.00",Plan A,CRM,2025-01-23 00:24:16,2026-02-06 14:18:27,BATCH_20260313_003,Backfill
E100009,EMP1009,KIara,Singh,Male,1977/09/25,29-01-2021,HR,Area Sales Manager,E100001,West,Gujarat,Gujarat,Ahmedabad,HQ-W-170,kiara.singh9@pharmaco.com,+91-7010193046,Active,"14,74,695.00",Plan A,SAP,2025-09-26 02:26:42,2025-10-26 18:33:20,BATCH_20260313_002,Transferred
E100010,EMP1010,karan,Nair,Male,1978-04-03,2018-07-19,Medical Affairs,Medical Representative,E100002,East,Odisha,Odisha,Cuttack,HQ-E-350,karan.nair10@pharmaco.com,+91-9580907314,Active,"9,14,424.00",Plan C,SAP,2025-11-14 17:19:59,2025-12-06 03:56:08,BATCH_20260313_002,
